_id,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,circulating_supply,current_price,fully_diluted_valuation,high_24h,id,image,last_updated,low_24h,market_cap,market_cap_change_24h,market_cap_change_percentage_24h,market_cap_rank,max_supply,name,price_change_24h,price_change_percentage_24h,roi,roi.currency,roi.percentage,roi.times,symbol,total_supply,total_volume
token/bitcoinstaking,53.79,-99.58451,2021-12-14T05:44:34.181Z,0.00015798,141358.94625,2020-11-12T12:08:59.376Z,12803965.0,0.224618,4716985.0,0.232386,bitcoinstaking,https://assets.coingecko.com/coins/images/12978/large/bsk.png?1604034916,2022-05-12T23:08:40.313Z,0.209942,2876005.0,25376.0,0.8902,1455.0,21000000.0,BitcoinStaking,0.00043987,0.19621,,,,,bsk,12803965.0,88.72
token/unmarshal,11.89,-99.13204,2021-03-30T15:19:27.231Z,0.095438,8.16636,2022-05-12T07:24:53.642Z,27454999.999272,0.104563,10449660.0,0.133917,unmarshal,https://assets.coingecko.com/coins/images/14554/large/img_circle_256x256.png?1616997706,2022-05-12T23:15:34.479Z,0.095438,2868954.0,-798385.9162821784,-21.77016,1454.0,100000000.0,Unmarshal,-0.0276861687142217,-20.93484,,,,,marsh,100000000.0,588324.0
token/solchicks-token,0.506873,-99.05245,2021-12-14T04:38:31.234Z,0.00474189,1.28656,2022-05-12T17:49:10.988Z,596353336.673708,0.00482273,48044305.0,0.00584566,solchicks-token,https://assets.coingecko.com/coins/images/20978/large/chicks.png?1638162821,2022-05-12T23:14:51.368Z,0.00474189,2865138.0,-595845.854655751,-17.21608,1455.0,10000000000.0,SolChicks,-0.0010229315921242,-17.49898,,,,,chicks,10000000000.0,316309.0
token/e1337,7.28,-94.38985,2021-04-29T06:26:47.841Z,0.0588,594.53223,2021-03-14T07:48:03.472Z,7010268.6654,0.408385,4083847.0,0.534736,e1337,https://assets.coingecko.com/coins/images/13348/large/logo.png?1607791847,2022-05-12T22:38:33.331Z,0.402141,2862887.0,-885758.9154587095,-23.62877,1454.0,10000000.0,1337,-0.1263516361121044,-23.62877,,,,,1337,10000000.0,936.73
token/waterfall-governance-token,1.4,-89.03144,2021-10-21T15:54:02.575Z,0.149557,2.4285,2022-05-12T21:29:18.055Z,18802885.0,0.152741,15173792.0,0.16636,waterfall-governance-token,https://assets.coingecko.com/coins/images/19189/large/wtf_icon_avatar_200x200.png?1634631004,2022-05-12T23:15:21.424Z,0.149557,2853111.0,-144434.1603809637,-4.81842,1457.0,100000000.0,Waterfall Governance,-0.0086072562999376,-5.33458,,,,,wtf,100000000.0,103200.0
token/tetu,0.130148,-89.29366,2022-04-04T21:22:33.491Z,0.00073825,1787.44463,2021-08-23T15:34:35.041Z,204922862.797608,0.01388951,13856858.0,0.02487361,tetu,https://assets.coingecko.com/coins/images/17882/large/gradient_icon_926.png?1629707907,2022-05-12T23:14:44.751Z,0.00896851,2839587.0,-2206753.476135167,-43.72978,1458.0,1000000000.0,TETU,-0.0106256315824533,-43.34314,,,,,tetu,518984508.0,267560.0
token/sparkpoint,0.02523125,-98.71642,2021-03-14T00:28:49.198Z,7.2e-06,4395.60902,2020-02-12T16:09:11.462Z,8495388883.0016,0.00033088,,0.00040117,sparkpoint,https://assets.coingecko.com/coins/images/8371/large/SRK.png?1614675526,2022-05-12T23:14:35.099Z,0.00029587,2829794.0,-447344.91524954187,-13.65047,1460.0,,SparkPoint,-5.17337484317e-05,-13.52118,,,,,srk,13444612245.2056,195075.0
token/froyo-games,0.108955,-76.93826,2022-02-16T13:33:17.087Z,0.02015159,24.68956,2022-05-12T07:29:05.424Z,112778105.0,0.02517692,25081665.0,0.02859974,froyo-games,https://assets.coingecko.com/coins/images/22386/large/95039059.png?1641788131,2022-05-12T23:15:06.783Z,0.02015159,2828663.0,-183578.54155488405,-6.09442,1461.0,1000000000.0,Froyo Games,-0.0014548927132864,-5.46299,,,,,froyo,1000000000.0,295317.0
token/xend-finance,3.0,-98.80171,2021-03-28T07:16:54.324Z,0.03167763,13.50204,2022-05-12T10:13:47.012Z,79160249.4373,0.03595274,,0.03951193,xend-finance,https://assets.coingecko.com/coins/images/14496/large/WeChat_Image_20210325163206.png?1616661216,2022-05-12T23:14:36.177Z,0.03167763,2823193.0,-253688.5328132925,-8.24499,1462.0,,Xend Finance,-0.0027686504883702,-7.15018,,,,,xend,200000000.0,343507.0
token/atlas-dex,1.5,-82.78082,2022-02-02T12:51:59.525Z,0.00896052,2777.45989,2022-01-25T21:46:37.281Z,10837536.0,0.260235,65029149.0,0.297415,atlas-dex,https://assets.coingecko.com/coins/images/23002/large/logo.png?1643091340,2022-05-12T23:13:09.017Z,0.257548,2819023.0,-499155.8213088317,-15.04307,1465.0,250000001.0,Atlas DEX,-0.0353102286203788,-11.94748,,,,,ats,250000000.0,137385.0
token/warden,1.001,-94.09135,2021-06-21T14:01:15.352Z,0.051718,14.35054,2022-05-12T08:58:35.802Z,47650565.11999043,0.058932,11765825.0,0.063863,warden,https://assets.coingecko.com/coins/images/16456/large/WAD.png?1624250140,2022-05-12T23:14:55.658Z,0.051718,2803241.0,-192513.4385836632,-6.42621,1464.0,200000000.0,Warden,-0.0038956805938123,-6.20057,,,,,wad,59999986.0936014,689.18
token/kuma-inu,6.03179e-07,-96.11348,2021-10-12T17:55:28.390Z,8.046e-09,191.36435,2021-09-10T23:00:12.120Z,118750167011962.6,2.3695e-08,,2.5865e-08,kuma-inu,https://assets.coingecko.com/coins/images/15526/large/kuma_inu.PNG?1621128824,2022-05-12T23:14:00.614Z,2.1307e-08,2802454.0,-201170.47716765013,-6.69759,1465.0,,Kuma Inu,-1.388136068e-09,-5.53408,,,,,kuma,1000000000000000.0,311903.0
token/mirrored-tesla,1305.98,-68.6013,2022-04-21T13:58:20.354Z,277.89,47.56135,2022-05-12T19:24:43.405Z,7422.869858,398.92,,783.09,mirrored-tesla,https://assets.coingecko.com/coins/images/13644/large/mirror_logo_transparent.png?1611565294,2022-05-12T23:13:56.428Z,277.89,2800068.0,-2680689.086090377,-48.91093,1466.0,,Mirrored Tesla,-315.7208458461772,-44.17895,,,,,mtsla,7425.358322,1729668.0
token/mirrored-bitcoin,99937.0,-83.30234,2022-04-27T12:08:03.065Z,10647.17,56.72816,2022-05-11T13:04:19.785Z,191.067988,15703.67,2781707.0,31693.0,mirrored-bitcoin,https://assets.coingecko.com/coins/images/14058/large/mirror_logo_transparent.png?1614063118,2022-05-12T23:14:50.368Z,11090.35,2796909.0,-2561659.23379673,-47.80492,1467.0,190.029485,Mirrored Bitcoin,-11953.310074837114,-43.21986,,,,,mbtc,190.029485,1544576.0
